x,y,z,xt,yt,zt
-0.040117, 0.044748, -0.555221, , , 
-0.007769, -0.125150, -0.747301, , , 
-0.133640, -0.149274, -0.886037, , , 
-0.045528, -0.075192, -0.708439, , , 
-0.089948, -0.210070, -0.927405, , , 
-0.143833, -0.005373, -0.772159, , , 
-0.000307, -0.131707, -0.744734, , , 
-0.071126, -0.157445, -0.865542, , , 
-0.065158, -0.203591, -0.930802, , , 
-0.205780, -0.167663, -0.981464, , , 
-0.084133, -0.185815, -0.931457, , , 
-0.158306, 0.010620, -0.749286, , , 
-0.093569, 0.002806, -0.789845, , , 
-0.043313, -0.119251, -0.857082, , , 
-0.130744, -0.041298, -0.742674, , , 
-0.037711, -0.167060, -0.847048, , , 
-0.086561, -0.194791, -0.915937, , , 
-0.012122, 0.040147, -0.516492, , , 
-0.106513, -0.082204, -0.816863, , , 
-0.390004, -0.125211, -1.106800, , , 
-0.079263, 0.006699, -0.730741, , , 
-0.388607, -0.125056, -1.104799, , , 
-0.043974, -0.170389, -0.881352, , , 
-0.156821, -0.077412, -0.800121, , , 
-0.154626, -0.094475, -0.845282, , , 
-0.054752, -0.145853, -0.828626, , , 
-0.052229, -0.105546, -0.753909, , , 
-0.140418, -0.060318, -0.782261, , , 
-0.087786, -0.182372, -0.910126, , , 
-0.189262, 0.005763, -0.907525, , , 
-0.200882, -0.074089, -0.806229, , , 
-0.010810, -0.095800, -0.727956, , , 
-0.608444, -0.116717, -1.509747, , , 
-0.109010, -0.037668, -0.738177, , , 
-0.014306, -0.147599, -0.800904, , , 
-0.173410, -0.062500, -0.762826, , , 
-0.151719, -0.064614, -0.781192, , , 
-0.401549, -0.164636, -1.124193, , , 
-0.067094, -0.125187, -0.821531, , , 
-0.033358, -0.160153, -0.851899, , , 
-0.508980, -0.358522, -1.739621, , , 
-0.060143, -0.054018, -0.721572, , , 
-0.125607, -0.012748, -0.916874, , , 
-0.077295, -0.126537, -0.791026, , , 
-0.059005, -0.182801, -0.884472, , , 
-0.067849, -0.158155, -0.857609, , , 
-0.051909, 0.049315, -0.543691, , , 
0.023533, -0.054952, -0.630029, , , 
-0.035593, -0.155565, -0.826211, , , 
-0.012787, -0.096425, -0.734701, , , 
-0.066456, -0.182161, -0.888951, , , 
-0.050682, 0.048572, -0.541613, , , 
-0.058600, -0.132345, -0.840255, , , 
-0.099639, -0.133907, -0.859408, , , 
-0.066960, -0.180347, -0.913521, , , 
-0.105515, -0.135971, -0.864361, , , 
0.035240, -0.023012, -0.582580, , , 
0.021900, 0.052376, -0.461670, , , 
-0.121999, -0.074603, -0.780772, , , 
0.006425, 0.051925, -0.472625, , , 
-0.084995, -0.095492, -0.777667, , , 
0.031980, -0.040858, -0.606516, , , 
-0.184968, -0.074237, -0.797418, , , 
0.027109, 0.038527, -0.485424, , , 
-0.041859, -0.172688, -0.869945, , , 
0.025116, 0.040518, -0.483156, , , 
-0.142783, -0.214256, -0.993512, , , 
0.003298, 0.051856, -0.487020, , , 
-0.132971, -0.112483, -0.841611, , , 
-0.081187, -0.189931, -0.917590, , , 
-0.181543, -0.081197, -0.810377, , , 
-0.132611, -0.079180, -0.777915, , , 
-0.082432, -0.126661, -0.822459, , , 
0.011248, 0.047531, -0.500683, , , 
0.014678, 0.041435, -0.490789, , , 
-0.073422, -0.179239, -0.912697, , , 
0.024204, 0.074038, -0.444893, , , 
0.035031, 0.046153, -0.460304, , , 
0.071945, -0.104568, -0.611726, , , 
-0.448181, -0.286694, -1.496640, , , 
0.000738, -0.043628, -0.656420, , , 
-0.059489, 0.010385, -0.672102, , , 
0.055557, -0.087747, -0.631754, , , 
-0.039837, -0.191835, -0.909591, , , 
0.033771, 0.070008, -0.427915, , , 
0.041976, 0.036931, -0.468436, , , 
0.023900, 0.040939, -0.490314, , , 
-0.137645, -0.168383, -0.977226, , , 
0.041736, 0.036753, -0.468023, , , 
-0.137277, -0.238161, -1.026610, , , 
0.027096, 0.038224, -0.484420, , , 
-0.072446, -0.125669, -0.808766, , , 
0.079520, -0.107192, -0.599125, , , 
-0.430638, -0.314339, -1.518677, , , 
0.044622, -0.009226, -0.559550, , , 
-0.004490, 0.040991, -0.521190, , , 
0.003042, 0.014444, -0.612247, , , 
0.048801, -0.013831, -0.543071, , , 
0.038570, -0.011789, -0.592897, , , 
-0.069855, -0.160366, -0.906633, , , 
-0.056556, -0.052330, -0.704280, , , 
0.056098, -0.090248, -0.643784, , , 
0.024637, 0.051962, -0.444357, , , 
0.027800, -0.056873, -0.659277, , , 
-0.162201, -0.055981, -0.742325, , , 
0.026241, 0.040677, -0.476556, , , 
0.023186, 0.052184, -0.459613, , , 
-0.003761, 0.041521, -0.518042, , , 
-0.062610, -0.188785, -0.903603, , , 
0.034031, -0.039652, -0.599028, , , 
0.014374, 0.047376, -0.481523, , , 
-0.009139, 0.054630, -0.492271, , , 
0.031388, -0.050014, -0.627276, , , 
0.010603, 0.059818, -0.462429, , , 
0.007964, 0.049163, -0.520345, , , 
0.045774, -0.013877, -0.564792, , , 
0.033213, -0.051112, -0.612135, , , 
0.039393, -0.012545, -0.581509, , , 
-0.142134, -0.077147, -0.782830, , , 
0.033625, -0.043401, -0.608382, , , 
-0.032044, 0.048165, -0.550011, , , 
0.032003, -0.054795, -0.625405, , , 
0.022723, 0.052665, -0.466920, , , 
-0.035709, -0.110381, -0.805935, , , 
0.015020, 0.041394, -0.484345, , , 
0.030581, -0.032714, -0.602211, , , 
-0.052113, -0.079234, -0.742787, , , 
0.059225, -0.097762, -0.626420, , , 
0.000345, -0.050844, -0.644085, , , 
0.036333, -0.031487, -0.608932, , , 
-0.129479, -0.144022, -0.883986, , , 
-0.069501, -0.157457, -0.852685, , , 
-0.039636, 0.046712, -0.539268, , , 
0.047049, -0.079968, -0.631701, , , 
-0.062634, -0.087525, -0.724663, , , 
-0.140840, -0.240930, -1.031472, , , 
0.025988, 0.062816, -0.449296, , , 
-0.131445, -0.055401, -0.724972, , , 
-0.159600, 0.005610, -0.768368, , , 
-0.052269, -0.158856, -0.856699, , , 
0.046133, -0.080065, -0.634486, , , 
0.062353, 0.032294, -0.451580, , , 
0.069565, -0.106321, -0.630646, , , 
-0.045309, -0.061613, -0.702877, , , 
0.056528, -0.086943, -0.625216, , , 
-0.377549, -0.294898, -1.483777, , , 
-0.051040, -0.078185, -0.735070, , , 
-0.013151, 0.048627, -0.521545, , , 
-0.231324, -0.287562, -1.243575, , , 
-0.071229, -0.092408, -0.737733, , , 
0.045589, 0.053702, -0.437136, , , 
0.054891, 0.058028, -0.415010, , , 
0.049846, -0.094034, -0.670615, , , 
0.000685, -0.146552, -0.782543, , , 
-0.091666, 0.019023, -0.714051, , , 
-0.081607, -0.209218, -0.951461, , , 
-0.122651, -0.182939, -0.977955, , , 
-0.153998, -0.067939, -0.741724, , , 
-0.099384, -0.141388, -0.843029, , , 
-0.086916, -0.010236, -0.768766, , , 
-0.055260, -0.168002, -0.853510, , , 
-0.128244, -0.159708, -0.911529, , , 
0.070137, 0.069295, -0.372705, , , 
-0.076435, -0.127131, -0.825065, , , 
-0.159648, -0.061914, -0.767926, , , 
0.016735, 0.047005, -0.470568, , , 
0.071652, 0.060309, -0.392392, , , 
-0.284170, -0.159348, -1.113984, , , 
