x,y,z,xt,yt,zt
-0.257227, -0.173500, -1.009440, , , 
-0.187148, -0.062779, -1.053586, , , 
-0.370749, -0.160638, -0.955252, , , 
-0.411786, -0.184974, -0.936401, , , 
-0.302888, -0.001729, -0.995635, , , 
-0.224397, -0.169020, -1.003124, , , 
-0.255894, -0.137249, -0.993520, , , 
-0.484816, -0.236808, -0.937151, , , 
-0.416237, -0.119473, -0.897703, , , 
-0.334319, -0.059112, -0.913676, , , 
-0.334368, -0.173372, -0.952654, , , 
-0.351510, -0.092106, -0.963263, , , 
-0.356029, -0.074841, -0.924692, , , 
-0.328271, 0.002778, -0.967506, , , 
-0.353750, -0.066282, -0.933287, , , 
-0.347997, -0.052947, -0.968139, , , 
-0.336907, 0.002656, -0.972141, , , 
-0.360276, -0.146566, -0.930435, , , 
-0.427093, -0.122884, -0.904984, , , 
-0.232857, -0.167402, -1.026929, , , 
-0.351863, -0.109176, -0.962164, , , 
-0.350215, -0.096724, -0.973945, , , 
-0.340624, -0.056505, -0.975715, , , 
-0.424034, -0.203429, -0.947209, , , 
-0.311825, -0.110254, -0.984809, , , 
-0.435639, -0.138772, -0.911856, , , 
-0.454942, -0.173827, -0.921993, , , 
-0.513042, -0.237287, -0.951572, , , 
-0.445247, -0.222777, -0.940781, , , 
-0.438357, -0.215798, -0.958319, , , 
-0.338408, -0.015552, -0.924695, , , 
-0.348755, -0.093541, -0.964236, , , 
-0.345424, 0.024112, -0.936611, , , 
-0.409897, -0.077018, -0.877607, , , 
-0.431502, -0.191117, -0.935803, , , 
-0.361577, -0.044187, -0.902504, , , 
-0.448023, -0.199420, -0.944577, , , 
-0.427685, -0.149684, -0.944285, , , 
-0.440144, -0.193685, -0.935706, , , 
-0.443757, -0.222158, -0.938965, , , 
-0.428524, -0.206121, -0.950316, , , 
-0.360457, -0.205090, -0.952254, , , 
-0.352265, -0.087869, -0.949507, , , 
-0.193203, -0.103721, -1.085424, , , 
-0.341236, -0.166427, -0.959768, , , 
-0.417491, -0.187464, -0.940247, , , 
-0.405311, -0.116173, -0.889821, , , 
-0.188594, -0.087395, -1.080130, , , 
-0.422560, -0.193400, -0.918655, , , 
-0.422761, -0.181848, -0.943434, , , 
-0.298012, -0.118276, -0.999297, , , 
-0.447482, -0.206779, -0.939078, , , 
-0.342796, -0.100165, -0.968211, , , 
-0.359500, -0.145268, -0.929990, , , 
-0.487492, -0.225947, -0.930203, , , 
-0.338959, -0.056420, -0.974026, , , 
-0.454568, -0.173901, -0.921360, , , 
-0.464780, -0.216865, -0.939835, , , 
-0.365457, -0.007929, -0.856496, , , 
-0.208744, -0.117766, -1.049810, , , 
-0.423663, -0.218236, -0.940063, , , 
-0.387725, -0.030922, -0.836547, , , 
-0.267516, -0.147412, -1.002929, , , 
-0.461341, -0.175022, -0.924553, , , 
-0.420687, -0.187039, -0.926719, , , 
-0.322131, 0.070768, -0.851944, , , 
-0.372524, -0.152111, -0.943930, , , 
-0.313979, -0.153357, -0.967534, , , 
-0.451086, -0.162277, -0.909137, , , 
-0.320346, -0.184100, -0.966950, , , 
-0.469298, -0.219665, -0.946084, , , 
-0.434152, -0.192917, -0.937804, , , 
-0.345467, -0.177066, -0.962716, , , 
-0.483587, -0.236116, -0.935710, , , 
-0.401564, -0.047506, -0.870801, , , 
-0.511919, -0.248538, -0.927663, , , 
-0.457008, -0.151347, -0.923335, , , 
-0.376612, -0.039109, -0.876331, , , 
-0.348834, -0.051897, -0.928516, , , 
-0.359289, -0.074800, -0.928173, , , 
-0.446803, -0.206481, -0.938664, , , 
-0.508558, -0.250143, -0.946612, , , 
-0.424375, -0.216897, -0.941844, , , 
-0.353161, -0.053514, -0.932717, , , 
-0.462624, -0.215920, -0.937124, , , 
-0.353198, -0.053489, -0.932791, , , 
-0.492945, -0.229164, -0.933489, , , 
-0.353997, -0.020334, -0.934506, , , 
-0.317719, -0.098435, -0.972890, , , 
-0.416523, -0.203440, -0.940425, , , 
-0.418766, -0.204686, -0.940790, , , 
-0.439691, -0.140620, -0.914052, , , 
-0.279396, -0.165130, -0.993364, , , 
-0.349851, -0.018263, -0.932255, , , 
-0.485037, -0.208368, -0.920292, , , 
-0.404690, -0.196213, -0.928027, , , 
-0.485948, -0.187554, -0.917250, , , 
-0.522481, -0.243581, -0.936885, , , 
-0.453094, -0.146705, -0.925253, , , 
-0.436053, -0.138220, -0.903800, , , 
-0.355433, 0.014333, -0.881368, , , 
-0.340713, 0.026798, -0.928801, , , 
-0.411067, -0.101049, -0.851401, , , 
-0.486753, -0.181373, -0.912187, , , 
-0.295877, -0.063364, -0.994191, , , 
-0.227758, -0.142450, -1.038487, , , 
-0.325165, 0.001038, -0.990785, , , 
-0.442762, -0.222052, -0.940008, , , 
-0.478023, -0.145289, -0.920681, , , 
-0.337246, -0.155153, -0.955696, , , 
-0.342055, -0.099983, -0.975528, , , 
-0.229151, -0.127674, -1.002128, , , 
-0.382434, -0.039164, -0.863629, , , 
-0.341222, -0.018466, -0.859714, , , 
-0.328820, 0.039074, -0.934013, , , 
-0.368907, -0.045478, -0.908915, , , 
-0.432147, -0.136747, -0.908008, , , 
-0.345858, -0.017472, -0.929471, , , 
-0.337423, 0.026932, -0.925846, , , 
-0.437942, -0.103920, -0.873354, , , 
-0.450603, -0.108078, -0.969796, , , 
-0.335670, 0.055673, -0.937593, , , 
-0.416746, -0.174956, -0.936455, , , 
-0.482483, -0.196928, -0.934074, , , 
-0.332761, 0.024156, -0.897351, , , 
-0.375847, 0.047665, -0.935801, , , 
-0.368673, -0.027142, -0.893553, , , 
-0.361649, -0.047680, -0.919198, , , 
-0.373918, -0.013152, -0.869220, , , 
-0.340841, 0.050874, -0.792610, , , 
-0.359798, 0.013456, -0.884571, , , 
-0.303995, 0.036752, -0.924009, , , 
-0.361028, -0.066427, -0.918629, , , 
-0.400434, -0.110400, -0.858334, , , 
-0.305035, 0.074409, -0.733171, , , 
-0.458562, -0.213527, -0.933308, , , 
